"sum_sq","mean_sq","num_df","den_df","f_value","p_value","feature","term","adjusted_p_value"
0.0997964221266218,0.0332654740422073,3,68.7506143053151,0.117232076238108,0.949704437602593,"seq.10000.28","WHO_temp_severity",0.97909936990614
0.00111273721161975,0.00111273721161975,1,27.3560367604767,0.0039214379888311,0.950523316078204,"seq.10000.28","sex",0.9965546492017
2.25845984535049,0.752819948450162,3,28.800241171472,2.65304037087524,0.067407487054629,"seq.10000.28","ethnicity",0.999841822024894
1.24857235602073,1.24857235602073,1,26.6337509053083,4.40013959951687,0.0455659106901835,"seq.10000.28","calc_age",0.865871898679602
0.360654283421739,0.120218094473913,3,70.9883405983444,0.442878903231997,0.723072873151625,"seq.10001.7","WHO_temp_severity",0.88181197082323
0.0379468456038479,0.0379468456038479,1,31.5532851587583,0.139794740847377,0.710985848745022,"seq.10001.7","sex",0.977730946912463
0.140047586285152,0.0466825287617173,3,33.2338816448957,0.171976666479037,0.914572797383855,"seq.10001.7","ethnicity",0.999841822024894
0.375428438624349,0.375428438624349,1,30.8324724887463,1.38306413745506,0.248580822172999,"seq.10001.7","calc_age",0.896312715013783
0.286942136254464,0.095647378751488,3,67.5889330890189,0.43592809702977,0.727993313059579,"seq.10003.15","WHO_temp_severity",0.883451489532577
0.0716888495947822,0.0716888495947822,1,28.4710956659152,0.326733300902098,0.572074485087655,"seq.10003.15","sex",0.971698988982909
0.270019929887873,0.0900066432959578,3,29.6711468985453,0.410219550647474,0.746825266296341,"seq.10003.15","ethnicity",0.999841822024894
0.0617914646187781,0.0617914646187781,1,27.668971730261,0.281624399283679,0.599872530143857,"seq.10003.15","calc_age",0.919169760474396
0.997141510788834,0.332380503596278,3,59.9978501505925,1.16343604805377,0.331219876375922,"seq.10006.25","WHO_temp_severity",0.683784404038117
0.416571256449891,0.416571256449891,1,32.2943371030662,1.45813009816464,0.235997545116782,"seq.10006.25","sex",0.945734941367391
0.970916995062597,0.323638998354199,3,32.4901291010177,1.13283803703072,0.350300236927713,"seq.10006.25","ethnicity",0.999841822024894
0.00166623828972621,0.00166623828972621,1,31.3630637693314,0.00583235680173823,0.939609943298178,"seq.10006.25","calc_age",0.99339682790031
0.127079166783771,0.0423597222612571,3,62.6054773170781,0.189727174026896,0.903014923192048,"seq.10008.43","WHO_temp_severity",0.963286878430887
0.0127013723894649,0.0127013723894649,1,32.3941131268468,0.0568888406504135,0.812985019163434,"seq.10008.43","sex",0.979458158711613
0.342282457395718,0.114094152465239,3,32.7945050361156,0.51102226276923,0.677481925975228,"seq.10008.43","ethnicity",0.999841822024894
0.0111979106867557,0.0111979106867557,1,31.4339777159903,0.0501549074495911,0.824243178061225,"seq.10008.43","calc_age",0.972658538584204
0.471710632844772,0.157236877614924,3,66.2766495231261,0.720540525040143,0.543258025273022,"seq.10010.10","WHO_temp_severity",0.802671137432701
0.0410581930149307,0.0410581930149307,1,29.8633161131847,0.188149831012478,0.667578525759356,"seq.10010.10","sex",0.97723638216217
0.493297594448215,0.164432531482738,3,30.806344197818,0.753514724824367,0.528768840577908,"seq.10010.10","ethnicity",0.999841822024894
0.0959770950841988,0.0959770950841988,1,28.9855361095481,0.439816584587485,0.512451149485757,"seq.10010.10","calc_age",0.905852744930434
1.09192551216247,0.363975170720823,3,70.3685865844566,0.917457529876487,0.437021859240361,"seq.10011.65","WHO_temp_severity",0.746193617183337
1.11694648318498,1.11694648318498,1,28.2967368625555,2.81544194192611,0.104374195714833,"seq.10011.65","sex",0.872132094861364
1.01717736911661,0.339059123038869,3,30.0182295551583,0.854652653611715,0.475207550619525,"seq.10011.65","ethnicity",0.999841822024894
0.534724188332419,0.534724188332419,1,27.6326382769367,1.34785769046032,0.255584568937074,"seq.10011.65","calc_age",0.896312715013783
1.02545828729474,0.341819429098248,3,70.7062909178261,1.07132930272034,0.366864362515041,"seq.10012.5","WHO_temp_severity",0.706211994677969
0.0147676193828825,0.0147676193828825,1,31.6600852027562,0.0462846229017472,0.831039137706738,"seq.10012.5","sex",0.979941350258141
0.462518838901663,0.154172946300554,3,33.2642479292762,0.48320832871978,0.696205404211685,"seq.10012.5","ethnicity",0.999841822024894
0.00407873133628296,0.00407873133628296,1,30.9172903029392,0.0127835460085204,0.910710513778366,"seq.10012.5","calc_age",0.989102037390149
0.0219250887029019,0.00730836290096731,3,65.8041550416979,0.0266786582166685,0.994060162279343,"seq.10014.31","WHO_temp_severity",0.9982267352873
0.794637982876283,0.794637982876283,1,29.5469155424908,2.90076935675065,0.0990357060814143,"seq.10014.31","sex",0.867438010128199
0.11651529299391,0.0388384309979699,3,30.4471711600613,0.14177692601025,0.934141837603608,"seq.10014.31","ethnicity",0.999841822024894
0.0158041654040998,0.0158041654040998,1,28.6654857535646,0.0576919801231913,0.811891193555394,"seq.10014.31","calc_age",0.970927316571354
1.15543313564228,0.385144378547427,3,70.8443203723316,0.584033055226011,0.627437993901514,"seq.10015.119","WHO_temp_severity",0.838074497581437
0.00806585824144466,0.00806585824144466,1,26.234638247754,0.0122310699419718,0.912779901581358,"seq.10015.119","sex",0.991874578083152
2.21617715875418,0.738725719584727,3,29.1366024682116,1.12020391057058,0.356957037343058,"seq.10015.119","ethnicity",0.999841822024894
0.00175562818476973,0.00175562818476973,1,25.8893989748597,0.00266223512455005,0.959245979491964,"seq.10015.119","calc_age",0.994180387117087
0.0979568759588503,0.0326522919862834,3,66.3934464028569,0.184593662701989,0.906515183462796,"seq.10022.207","WHO_temp_severity",0.964604633784633
