"gencode_id","ensembl_id","gene_id","WHO_temp_severity.L","WHO_temp_severity.Q","WHO_temp_severity.C","AveExpr","F","P.Value","adj.P.Val","F.std"
"ENSG00000154258.17","ENSG00000154258","ABCA9",-1.24979790314913,0.735233748774389,-0.180886699085706,-0.983901017710077,21.1981967603964,3.86043217904633e-10,7.98955043775429e-06,15.5951970504099
"ENSG00000003436.16","ENSG00000003436","TFPI",1.49489120236967,-0.121480659852873,-0.448564048940652,-0.286022026308953,19.4848274178994,1.59629578674542e-09,1.65184688012416e-05,14.6284216190448
"ENSG00000119632.4","ENSG00000119632","IFI27L2",0.276722343842479,-0.351234726416255,-0.0579045791007201,3.93983731459488,17.2364814060477,1.11401729913968e-08,6.24500078382116e-05,13.3029278185483
"ENSG00000124635.9","ENSG00000124635","H2BC11",0.839926793113945,-0.659302267435193,-0.184859866383847,2.13015538851387,17.1460410171476,1.20699667255917e-08,6.24500078382116e-05,13.2481757101953
"ENSG00000270276.2","ENSG00000270276","H4C15",0.826905146742792,-1.31962044469779,-0.923141512587532,-4.38067880283864,15.6405712883023,4.6953667449821e-08,0.000141250291944072,12.3194979443715
"ENSG00000141744.4","ENSG00000141744","PNMT",0.481377596068833,-1.23542986160207,-0.828619368347528,-1.78868100423575,15.5518395556955,5.09414407658553e-08,0.000141250291944072,12.2637176729089
"ENSG00000243144.7","ENSG00000243144","ENSG00000243144",3.02482327112369,0.115155497205293,-0.226868765074225,-0.00623100853149641,15.5029226434129,5.32866568138396e-08,0.000141250291944072,12.2329155475141
"ENSG00000116717.13","ENSG00000116717","GADD45A",1.55134648922789,-0.103823779302887,-0.28939701416958,4.25734885768074,15.47648286577,5.46000355408085e-08,0.000141250291944072,12.2162517437759
"ENSG00000272468.1","ENSG00000272468","ENSG00000272468",1.25280328697492,-0.500297777846505,-0.411801597892626,-2.29354283937594,14.7960124226233,1.02697727834881e-07,0.000236159130585633,11.7836821542059
"ENSG00000180596.7","ENSG00000180596","H2BC4",1.02268535408537,-0.873782083012759,-0.171838945433891,2.42899597266327,14.5532596345632,1.28969252630767e-07,0.000266914765244635,11.6276156588827
"ENSG00000023516.9","ENSG00000023516","AKAP11",-0.442241490055298,0.166823993974584,0.0379463982741356,6.13890387879826,14.2872574675018,1.65778567812913e-07,0.00028715412927205,11.4555243095983
"ENSG00000204933.3","ENSG00000204933","CD177P1",3.95645691732471,0.323862764912247,-0.107175404680551,-3.57699390348489,14.2826820621577,1.6649833548824e-07,0.00028715412927205,11.4525542865992
"ENSG00000127824.15","ENSG00000127824","TUBA4A",0.66504310707792,-0.250877788826943,-0.193475770624542,6.44701110470775,14.0226860386593,2.13136343768624e-07,0.000339313059279649,11.2832262835416
"ENSG00000136810.13","ENSG00000136810","TXN",0.63181216066198,-0.235982342914491,-0.000150661617339726,5.86628846057533,13.7261797086866,2.82986795308071e-07,0.000396639139416635,11.0887706450991
"ENSG00000141854.9","ENSG00000141854","MISP3",1.25701289795412,-0.252493899639404,-0.293008124286177,0.978002135343775,13.7097799319499,2.8747521701051e-07,0.000396639139416635,11.077972923939
"ENSG00000146950.13","ENSG00000146950","SHROOM2",3.17874301620424,1.43943141539442,0.541497399406653,-4.05242992605359,13.5371239860385,3.39399805921645e-07,0.000439013648959648,10.9640233802332
"ENSG00000277075.2","ENSG00000277075","H2AC8",0.888660959101392,-0.6433141826095,-0.167152232625994,0.178657917583303,13.3911662616797,3.90752713435883e-07,0.000475706950427591,10.8673048158104
"ENSG00000158406.6","ENSG00000158406","H4C8",0.638462602094322,-0.765528270446427,-0.0858367559599265,3.27227312187769,12.9893274976582,5.77385141614032e-07,0.000663864605046889,10.5991617505167
"ENSG00000184640.20","ENSG00000184640","SEPTIN9",-0.330747057168506,0.0210086349001449,0.117744686482548,9.2272956580644,12.8471043487759,6.63543496297405e-07,0.000722773484177426,10.5035941351199
"ENSG00000067798.16","ENSG00000067798","NAV3",2.25294714982472,-0.216576959898725,-0.610310250456192,-0.507022462945709,12.7553684047042,7.26005311015446e-07,0.000751270295838783,10.4417656237286
"ENSG00000127334.11","ENSG00000127334","DYRK2",-0.669128964319602,0.106421824691754,0.0839007051810964,6.09593332298368,12.4993381567645,9.3419777647128e-07,0.000894808901533018,10.2684270965073
"ENSG00000118058.23","ENSG00000118058","KMT2A",-0.415906994435778,0.110719929858981,-0.0158087118892063,7.0011879710585,12.4810955334303,9.51188434176961e-07,0.000894808901533018,10.2560323925223
"ENSG00000224067.2","ENSG00000224067","ENSG00000224067",1.91518344106429,0.288117894821093,-1.14407294628591,-3.88368630002356,12.3193368570041,1.11641638285284e-06,0.000963918203907892,10.1458695543175
"ENSG00000115232.14","ENSG00000115232","ITGA4",-0.678193826377078,-0.0569546690985909,0.0718413612305358,8.99233372447392,12.2911431044513,1.14809514222834e-06,0.000963918203907892,10.1266210631704
"ENSG00000103876.14","ENSG00000103876","FAH",0.672611094837382,-0.196034609063618,-0.0807526550530555,3.2122684656114,12.2769605411603,1.16437742064637e-06,0.000963918203907892,10.1169329515779
"ENSG00000180712.4","ENSG00000180712","LINC02363",1.43226506056986,-0.156043427400667,0.0278459177213337,0.843662617367043,12.2039396910056,1.25203206599246e-06,0.000996617524529997,10.0669954319577
"ENSG00000112333.12","ENSG00000112333","NR2E1",3.00251878342073,0.703914400235354,-0.111959858503802,-5.32395579758332,12.0549188969656,1.45250507560226e-06,0.00108021499607094,9.96478582117283
