"gencode_id","ensembl_id","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000236304.1","ENSG00000236304","ENSG00000236304",1.83765669615187,2.7579686048654,12.9303960099119,5.37283076119277e-08,0.000919828626316202,5.43850896252113
"ENSG00000163430.12","ENSG00000163430","FSTL1",1.17220488199795,1.04896001038866,11.627479939221,1.59772895699611e-07,0.00136765598718867,5.24092586987871
"ENSG00000095303.17","ENSG00000095303","PTGS1",0.641610486972929,6.13084478943363,10.7180000674102,3.69408527781564e-07,0.00210809133187346,5.0840818991789
"ENSG00000134668.12","ENSG00000134668","SPOCD1",1.31223429705664,0.743122225383199,10.2000701654732,6.41183028881384e-07,0.00252924316843303,4.97838112945064
"ENSG00000163735.7","ENSG00000163735","CXCL5",1.84023887696882,1.54668604045513,9.8715635493455,7.38680831902169e-07,0.00252924316843303,4.95090783315435
"ENSG00000108839.12","ENSG00000108839","ALOX12",1.33307271051479,2.54654999969215,9.61228389323178,1.2377653511772e-06,0.00353175713535894,4.84949444588753
"ENSG00000163737.4","ENSG00000163737","PF4",1.53385141719758,5.13859368607182,9.19255628888606,1.70962498036573e-06,0.00390561889625069,4.78502917439044
"ENSG00000149564.12","ENSG00000149564","ESAM",1.18475135873991,2.99791719930076,9.12249591926658,1.82505555899565e-06,0.00390561889625069,4.77188958127501
"ENSG00000211459.2","ENSG00000211459","MT-RNR1",0.999232648683105,10.2654707239672,8.80835549016491,2.60822788964663e-06,0.00412525207984062,4.69948154555661
"ENSG00000108960.9","ENSG00000108960","MMD",0.774068078365598,4.87815266985614,8.70144911500612,2.79614322581608e-06,0.00412525207984062,4.6852529980834
"ENSG00000240093.1","ENSG00000240093","ENSG00000240093",-0.708223378774421,-0.121723411490718,-8.73359974154813,2.81888176612063e-06,0.00412525207984062,-4.6835939378759
"ENSG00000180354.16","ENSG00000180354","MTURN",0.542838059547661,5.28233487069984,8.65303275312567,3.10786186669534e-06,0.00412525207984062,4.66355955596656
"ENSG00000127920.6","ENSG00000127920","GNG11",1.53091934272412,3.98031819554887,8.66489854782178,3.13249281763599e-06,0.00412525207984062,4.66193556004448
"ENSG00000168497.5","ENSG00000168497","CAVIN2",1.14865009152777,5.32022327955334,8.33062902446139,4.5146232579599e-06,0.00552073929830524,4.58616478470293
"ENSG00000206052.11","ENSG00000206052","DOK6",1.58710049474354,-0.694398565035982,8.36718608803864,4.99931608221131e-06,0.00570588608849718,4.56481642828347
"ENSG00000250334.6","ENSG00000250334","LINC00989",1.24985565714125,2.46445301224698,8.15667545315804,5.75988274608435e-06,0.00581480714004378,4.53501706757827
"ENSG00000113140.11","ENSG00000113140","SPARC",1.64859570445935,5.80894395137909,8.07795288763485,6.07494777382143e-06,0.00581480714004378,4.52376394051751
"ENSG00000109272.4","ENSG00000109272","PF4V1",1.60454855334696,1.00419928159035,8.20408272037184,6.11369909584042e-06,0.00581480714004378,4.522418634383
"ENSG00000173210.20","ENSG00000173210","ABLIM3",1.40895776229629,2.93187738924052,7.9487544715024,6.8755141984337e-06,0.00607071317566686,4.49750624542706
"ENSG00000198948.12","ENSG00000198948","MFAP3L",0.742491384687933,2.5245820204729,7.90568446911351,7.09195464447064e-06,0.00607071317566686,4.49090990811884
"ENSG00000122786.20","ENSG00000122786","CALD1",1.77505449734624,0.741333540633633,7.88306327347582,7.7921814120891e-06,0.00622515976475718,4.47081573457155
"ENSG00000082781.12","ENSG00000082781","ITGB5",1.09807476600779,3.43033177554529,7.83967177472569,7.99962119302909e-06,0.00622515976475718,4.46519405331264
"ENSG00000231437.3","ENSG00000231437","LINC01750",2.00113537251527,-2.21254602854821,7.56622445060927,1.12739727384622e-05,0.00822396083355026,4.39117505164249
"ENSG00000140479.18","ENSG00000140479","PCSK6",1.21852821627195,3.28002991612043,7.46339579406341,1.15289170563789e-05,0.00822396083355026,4.38631114983616
"ENSG00000100362.13","ENSG00000100362","PVALB",2.0420206838839,-1.38378681990758,7.47152068921079,1.45570380623635e-05,0.00996865966510651,4.33528653149503
"ENSG00000285774.3","ENSG00000285774","ENSG00000285774",1.60025545018125,-0.730391440944266,7.30468637742825,1.77383894409455e-05,0.0111825998340252,4.2916079964271
"ENSG00000161911.11","ENSG00000161911","TREML1",1.51249038994882,3.43519617309768,7.20207941828536,1.78947734195385e-05,0.0111825998340252,4.28965891121468
"ENSG00000156265.16","ENSG00000156265","MAP3K7CL",0.736208848489164,4.85285320100868,7.17709024801195,1.85108688666222e-05,0.0111825998340252,4.28213491136844
"ENSG00000237489.5","ENSG00000237489","C10orf143",-0.448010382179955,2.08102638165483,-7.20781987253578,1.89424880366081e-05,0.0111825998340252,-4.27700461142417
"ENSG00000205309.14","ENSG00000205309","NT5M",0.932184493869483,2.18975324170619,7.12615730335079,1.98563088220957e-05,0.0113313335678093,4.26650045705367
"ENSG00000173626.10","ENSG00000173626","TRAPPC3L",1.53396110440919,-0.798119613796569,7.14610681598517,2.21626067970786e-05,0.0122394783343866,4.24190949619487
"ENSG00000225936.1","ENSG00000225936","SLC18A2-AS1",1.15435317925732,0.692489853241478,6.92923320480265,2.45936831723596e-05,0.0131295060280509,4.21849646012307
"ENSG00000005249.13","ENSG00000005249","PRKAR2B",0.947777200814244,5.44867552624892,6.91750396516493,2.53080431615466e-05,0.0131295060280509,4.21203489854438
"ENSG00000101335.10","ENSG00000101335","MYL9",1.78061533908967,4.61495924877068,6.81490610842473,3.00301658118254e-05,0.0151024703887962,4.17323746489125
"ENSG00000115457.10","ENSG00000115457","IGFBP2",1.27610039248446,0.291265218395215,6.83074784347977,3.08753775471885e-05,0.0151024703887962,4.16691188297096
"ENSG00000163736.4","ENSG00000163736","PPBP",1.45336613772966,6.59169554829917,6.72293765251212,3.33435394255338e-05,0.0158567054156983,4.1493399015693
"ENSG00000005961.19","ENSG00000005961","ITGA2B",1.48581797870707,6.29786616524861,6.58371156123167,3.99091144817092e-05,0.0184660551331584,4.10800518625946
"ENSG00000101162.4","ENSG00000101162","TUBB1",1.13840572166187,6.50385881262196,6.54074716215329,4.24261885837799e-05,0.018908279238617,4.09385379980074
"ENSG00000198695.2","ENSG00000198695","MT-ND6",0.392923331552698,4.00376483054895,6.4580816049487,4.6017240018187e-05,0.018908279238617,4.07498536963209
"ENSG00000154146.13","ENSG00000154146","NRGN",1.20415949335984,7.41867016765187,6.46392097164546,4.64911750616963e-05,0.018908279238617,4.07260026894903
"ENSG00000254614.2","ENSG00000254614","ENSG00000254614",0.733672198807767,3.14930124922548,6.46833017466788,4.69453296097916e-05,0.018908279238617,4.0703362491296
"ENSG00000169704.5","ENSG00000169704","GP9",1.31484381925789,2.92481553618936,6.41334136286336,4.75376930879618e-05,0.018908279238617,4.06741424833456
"ENSG00000198478.8","ENSG00000198478","SH3BGRL2",1.29256508516076,2.97550939071131,6.40091428314109,4.84955086297987e-05,0.018908279238617,4.06276180587661
"ENSG00000128266.9","ENSG00000128266","GNAZ",0.763076646956865,2.73776824377147,6.39053112055416,4.85960447721465e-05,0.018908279238617,4.06227852970803
"ENSG00000011105.14","ENSG00000011105","TSPAN9",1.05727388178104,2.00323761909495,6.33235988812342,5.2988472798537e-05,0.020159170095799,4.04203875174394
"ENSG00000085733.16","ENSG00000085733","CTTN",1.2643824827376,3.17641836277523,6.31773612775109,5.60171098631072e-05,0.020848106975139,4.02898954238668
"ENSG00000134548.11","ENSG00000134548","SPX",1.54378474718523,0.356855913410548,6.33432802669847,6.02143669551738e-05,0.0218693267543262,4.0119691633299
"ENSG00000256407.2","ENSG00000256407","ENSG00000256407",-0.903822758978348,-0.735869395088192,-6.34603555918979,6.13158694046529e-05,0.0218693267543262,-4.00768868962198
"ENSG00000065534.19","ENSG00000065534","MYLK",1.14371530228249,2.93530037056658,6.14358423015398,6.54109144397796e-05,0.0225651355707623,3.99238914352653
"ENSG00000233614.6","ENSG00000233614","DDX11L10",1.00696372228718,1.11567277423704,6.28087803456799,6.59028492136748e-05,0.0225651355707623,3.99061260897068
"ENSG00000171611.10","ENSG00000171611","PTCRA",1.08100707606107,2.66905280389349,6.13913638146162,7.24418279794715e-05,0.0243177273531089,3.96812009246604
"ENSG00000101856.10","ENSG00000101856","PGRMC1",0.707345518385793,5.18719117018076,6.11658517009083,7.60413816340139e-05,0.0250351625687369,3.95654558967447
"ENSG00000223855.2","ENSG00000223855","PDGFA-DT",1.27396803425489,0.461868056536131,6.03002033651433,8.1618655265436e-05,0.0263643656253635,3.93959682953279
"ENSG00000105507.3","ENSG00000105507","CABP5",1.16773787317238,0.155678779316353,6.06160103963303,8.41897653271039e-05,0.0266912737481485,3.93214925346606
"ENSG00000187800.14","ENSG00000187800","PEAR1",1.13929330569114,2.63773279200759,5.98691677776888,8.70367072477825e-05,0.0270921532378552,3.92414941303998
"ENSG00000104267.10","ENSG00000104267","CA2",1.03372644924254,3.53679996451638,5.97566540560808,9.14411894450164e-05,0.0279548779160479,3.91224733146093
"ENSG00000159200.18","ENSG00000159200","RCAN1",-1.39556271226416,-1.84212542481879,-5.95827561916832,9.65629601548015e-05,0.0290027697868456,-3.89906974395636
